WelzlTime - NaifTime
281 - 84430
443 - 90101
602 - 93505
414 - 105628
312 - 110538
341 - 103208
247 - 86591
745 - 96568
136 - 87981
312 - 94376
443 - 94132
346 - 94981
466 - 96418
229 - 107858
472 - 82607
387 - 100437
651 - 92823
502 - 85137
463 - 117604
328 - 88722
169 - 81961
270 - 113901
512 - 109739
341 - 101431
459 - 91766
459 - 101637
468 - 104879
409 - 121158
389 - 104301
542 - 97653
290 - 100089
388 - 100956
203 - 98209
149 - 101809
509 - 94780
300 - 88473
507 - 92760
451 - 91902
562 - 91273
294 - 102816
184 - 89980
534 - 110260
253 - 95621
347 - 85504
324 - 84081
366 - 90557
224 - 109726
240 - 95756
649 - 112208
289 - 81997
251 - 98077
91 - 280
378 - 96057
587 - 89756
212 - 103581
371 - 101217
221 - 94974
256 - 100034
705 - 97737
360 - 107332
487 - 121695
176 - 100773
521 - 121278
773 - 116066
358 - 82829
129 - 88963
526 - 94884
293 - 90070
223 - 85086
297 - 89605
603 - 77867
407 - 96883
294 - 87928
212 - 99210
120 - 109075
445 - 87145
152 - 90606
231 - 92486
429 - 97180
236 - 107913
212 - 102580
418 - 89831
264 - 96588
288 - 86692
282 - 86225
348 - 79566
140 - 89890
237 - 82359
475 - 80707
149 - 83591
389 - 79396
333 - 109946
383 - 81741
